San Francisco,San Jose,Sacramento,Oakland,Walnut Creek,Association,Association Pool,BARI,BERD,CCRD,EBRD,MLS,MLSL,SACM,Week or Weekend,# of Rooms_n,# of Units_n,Association Total_n,Bathrooms_n,Bedrooms_n,Selling Date_n,DOM_n,Latitude_n,Longitude_n,On Market Date_n,Days_Between_n,Date of Week_n,Square Footage_n,Selling Price_n,SP%LP_n
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0005970149253731343,0.13218623481781375,0.375,0.5,0.28493150684931834,0.2103448275862069,0.951290066463567,0.011233763337293867,0.7879554655870429,0.09417040358744394,0.8333333333333334,0.5049029417650591,0.2646707350105958,0.4571490327461364
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.23333333333333334,0.0008955223880597015,0.042105263157894736,0.25,0.5,0.5178082191780788,0.1724137931034483,0.951033440366155,0.010861957851048265,0.8410931174089065,0.0773542600896861,0.8333333333333334,0.5039023414048429,0.2527206386131515,0.48730141575705177
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.23333333333333334,0.00029850746268656717,0.04554655870445344,0.375,0.5,0.6273972602739661,0.015517241379310345,0.9510984462707951,0.010934125014820717,0.9144736842105274,0.021300448430493273,0.5,0.5039023414048429,0.25072895588024413,0.49778450232357074
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0005970149253731343,0.06578947368421052,0.5,0.5,0.8082191780821972,0.10862068965517241,0.9510671387425829,0.011047335536453873,0.9256072874493917,0.043721973094170405,0.6666666666666666,0.5029017410446268,0.27861251414094745,0.5145898627472171
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.16666666666666666,0.0,0.04595141700404858,0.375,0.5,0.6109589041095944,0.022413793103448276,0.9516583325892342,0.012192276394518031,0.9078947368421062,0.02242152466367713,0.6666666666666666,0.5015009005403243,0.10414110673826103,0.598886847508916
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.23333333333333334,0.0,0.0021086369770580296,0.375,0.375,0.21643835616438878,0.2827586206896552,0.9524569010600566,0.010611004495673426,0.7651821862348172,0.10145739910313901,0.33333333333333337,0.4966980188112868,0.19496183935883749,0.5270723008753917
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.0,0.0,0.07742914979757085,0.375,0.375,0.13150684931507328,0.06206896551724138,0.9533290824890954,0.010771857946781593,0.8173076923076934,0.02522421524663677,0.0,0.4964978987392435,0.1471614537690604,0.5367988760402032
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.07742914979757085,0.375,0.375,0.6301369863013662,0.25862068965517243,0.9533239987907844,0.010773150396547027,0.8390688259109318,0.10257847533632287,0.16666666666666666,0.4964978987392435,0.14616561240260673,0.5245866205554954
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.26666666666666666,0.00029850746268656717,0.07004048582995952,0.25,0.375,0.7123287671232816,0.0706896551724138,0.951064647227074,0.010883711396161178,0.9175101214574894,0.032511210762331835,0.33333333333333337,0.49609765859515703,0.26865410047641053,0.5182643466983681
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.23333333333333334,0.00029850746268656717,0.04048582995951417,0.375,0.5,0.7671232876712395,0.05862068965517241,0.9504532947549421,0.011018554295741723,0.9256072874493917,0.03475336322869955,0.6666666666666666,0.4946968180908545,0.23877885948279984,0.5367988760402032
