San Francisco,San Jose,Sacramento,Oakland,Walnut Creek,Association,Association Pool,BARI,BERD,CCRD,EBRD,MLS,MLSL,SACM,Week or Weekend,# of Rooms_n,# of Units_n,Association Total_n,Bathrooms_n,Bedrooms_n,Selling Date_n,DOM_n,Latitude_n,Longitude_n,On Market Date_n,Days_Between_n,Date of Week_n,Square Footage_n,Selling Price,SP%LP_n,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.166666667,0,0.045951417,0.375,0.5,0.610958904,0.022413793,0.951658333,0.012192276,0.907894737,0.022421525,0.666666667,0.501500901,1310000,0.598886848,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.233333333,0,0.002108637,0.375,0.375,0.216438356,0.282758621,0.952456901,0.010611004,0.765182186,0.101457399,0.333333333,0.496698019,2450000,0.527072301,0,0,1,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.07742915,0.375,0.375,0.131506849,0.062068966,0.953329082,0.010771858,0.817307692,0.025224215,0,0.496497899,1850000,0.536798876,1,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.07742915,0.375,0.375,0.630136986,0.25862069,0.953323999,0.01077315,0.839068826,0.102578475,0.166666667,0.496497899,1837500,0.524586621,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.266666667,0.000298507,0.070040486,0.25,0.375,0.712328767,0.070689655,0.951064647,0.010883711,0.917510121,0.032511211,0.333333333,0.496097659,3375000,0.518264347,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.233333333,0.000298507,0.04048583,0.375,0.5,0.767123288,0.05862069,0.950453295,0.011018554,0.925607287,0.034753363,0.666666667,0.494696818,3000000,0.536798876,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.266666667,0.000298507,0.049595142,0.375,0.375,0.95890411,0.14137931,0.951079521,0.011032238,0.950404858,0.046524664,0.666666667,0.494096458,2900000,0.519669296,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.3,0.001641791,0.065789474,0.375,0.5,0.178082192,0,0.950542285,0.012211752,0.848178138,0.006165919,0.833333333,0.493896338,1700000,0.570949962,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.133333333,0.062537313,0.295040486,0.375,0.375,0.205479452,0,0.951063867,0.011307005,0.853238866,0,0.166666667,0.492895737,3200000,0.490489571,0,1,0,0,0,0,0
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.233333333,0.00641791,0.034311741,0.5,0.5,0.591780822,0.027586207,0.949017074,0.015616065,0.903340081,0.024103139,0.333333333,0.492495497,980000,0.531881552,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.233333333,0.000447761,0.036740891,0.25,0.5,0.695890411,0.025862069,0.950887221,0.010810438,0.925607287,0.020179372,0.666666667,0.490694417,2310000,0.517615908,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.03340081,0.25,0.375,0.224657534,0.012068966,0.969103773,0.021967526,0.841093117,0.019618834,0.833333333,0.490494297,759900,0.536798876,0,0,0,0,0,1,0
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.3,0.009850746,0.04048583,0.375,0.5,0.095890411,0.101724138,0.949058549,0.015576378,0.787955466,0.049887892,0.833333333,0.490294177,910000,0.51680536,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.041492537,0.144534413,0.375,0.5,0.997260274,0.393103448,0.951021738,0.011338654,0.872975709,0.141255605,0.833333333,0.490094056,4600000,0.494055982,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.000447761,0.03917004,0.375,0.375,0.745205479,0.068965517,0.95093378,0.010942445,0.917004049,0.040919283,0.166666667,0.489293576,2322500,0.499459635,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.2,0.002985075,0.103238866,0.25,0.375,0.709589041,0.356896552,0.950215972,0.010899245,0.823380567,0.137892377,0.833333333,0.488893336,1850000,0.536798876,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.103238866,0.25,0.375,0.709589041,0.318965517,0.95021952,0.010915918,0.829959514,0.130605381,0.666666667,0.488893336,1850000,0.536798876,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.097164179,0.147874494,0.375,0.375,0.917808219,0.301724138,0.951021738,0.011338654,0.889676113,0.10706278,0.5,0.488292976,4200000,0.500810548,0,0,0,1,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.068319838,0.375,0.5,0.553424658,0.012068966,0.920914466,0.015149983,0.895748988,0.024103139,0.166666667,0.484690814,950000,0.536798876,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.3,0.000298507,0.071862348,0.375,0.625,0.501369863,0.04137931,0.950990053,0.01080963,0.887145749,0.022982063,0.833333333,0.482689614,3150000,0.564195396,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.00238806,0.143016194,0.25,0.375,0.556164384,0.127586207,0.951135593,0.011183285,0.877024291,0.052690583,1,0.482489494,3100000,0.555765698,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.061336032,0.375,0.375,0.728767123,0.027586207,0.92062691,0.015218216,0.924089069,0.028587444,0.166666667,0.481689013,705000,0.504376959,0,1,0,0,0,0,0
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.072874494,0.375,0.375,0.323287671,0.017241379,0.953372948,0.01078122,0.846153846,0.033071749,0.166666667,0.479687813,1500000,0.538582081,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.064271255,0.375,0.25,0.695890411,0.755172414,0.921650344,0.015181058,0.660425101,0.313901345,0.833333333,0.479687813,2500000,0.526423863,0,0,0,0,0,1,0
0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.00238806,0.055465587,0.375,0.375,0.657534247,0.213793103,0.970032152,0.016978363,0.773785425,0.183856502,0.833333333,0.479287573,920000,0.528153031,0,0,0,0,0,1,0
0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.166666667,0.001492537,0.041700405,0.5,0.375,0.84109589,0.039655172,0.951737734,0.01221046,0.905364372,0.072309417,1,0.477286372,1400000,0.536798876,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.000298507,0.039979757,0.375,0.5,0.630136986,0,0.950093082,0.011106869,0.924089069,0.008408072,0.166666667,0.468881329,2360000,0.522317086,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.000298507,0.025303644,0.25,0.375,0.619178082,0.077586207,0.95060344,0.010923398,0.904352227,0.028026906,0.666666667,0.468481089,1795000,0.536798876,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.000597015,0.074392713,0.375,0.5,0.191780822,0.043103448,0.950982478,0.010877306,0.830465587,0.022421525,0.833333333,0.468280969,2725000,0.51307684,0,0,0,0,0,1,0
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.133333333,0.002089552,0.086032389,0.375,0.375,0.742465753,0.236206897,0.951462862,0.012324163,0.872469636,0.089125561,0.666666667,0.468280969,1450000,0.536798876,0,0,0,0,1,0,0
0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0.058906883,0.5,0.375,0.638356164,0.248275862,0.91904671,0.016165283,0.83451417,0.109865471,1,0.465879528,1036000,0.525072949,0,0,0,0,0,0,1
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.2,0.01880597,0.030263158,0.5,0.5,0.057534247,0.027586207,0.949019465,0.015613536,0.801619433,0.027466368,0.666666667,0.465279168,941000,0.537933643,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.000298507,0,0.375,0.375,0.120547945,0.010344828,0.951185901,0.01107131,0.823380567,0.015695067,0.833333333,0.464478687,2651000,0.569869232,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.2,0.000298507,0.025809717,0.25,0.375,0.824657534,0.143103448,0.950922933,0.010810308,0.910931174,0.062780269,0.5,0.463678207,2200000,0.507727224,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.2,0.00358209,0.274797571,0.25,0.25,0.523287671,0.032758621,0.951128395,0.011180514,0.900809717,0.012892377,0.666666667,0.462677607,3050000,0.546147196,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.051315789,0.5,0.5,0.608219178,0.060344828,0.93995576,0.014922367,0.9048583,0.026345291,0.833333333,0.462477486,1370000,0.544796282,0,0,0,0,0,1,0
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.266666667,0.008955224,0.044838057,0.5,0.5,0.810958904,0.006896552,0.949031369,0.015595911,0.947368421,0.02073991,0.833333333,0.461877126,980000,0.559818437,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.466666667,0.000298507,0,0.375,0.375,0.460273973,0,0.951416404,0.010988545,0.900303644,0.003363229,0.5,0.460276166,3300000,0.536798876,0,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.045951417,0.375,0.5,0.690410959,0.039655172,0.937283572,0.016229469,0.9048583,0.046524664,0.833333333,0.459875926,1015900,0.528153031,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.233333333,0.000447761,0.107186235,0.375,0.375,0.169863014,0.04137931,0.951449045,0.010961056,0.834008097,0.014013453,0.833333333,0.459075445,3300000,0.540905652,0,0,0,0,0,1,0
0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.050506073,0.375,0.5,0.542465753,0.067241379,0.970832684,0.019304175,0.864878543,0.057174888,0.5,0.459075445,625000,0.51680536,0,0,0,1,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.048076923,0.375,0.5,0.076712329,0.536206897,0.970832684,0.019304175,0.656376518,0.191704036,0.666666667,0.459075445,590000,0.541391981,0,0,0,0,1,0,0
0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0.004328358,0.041497976,0.25,0.25,0.556164384,0.194827586,0.971865882,0.019422814,0.83805668,0.089686099,1,0.455873524,698000,0.536798876,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.000298507,0.055668016,0.375,0.5,0.709589041,0.00862069,0.951040462,0.010994523,0.936740891,0.010650224,0.833333333,0.455473284,2875000,0.5417162,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.266666667,0.000298507,0.04048583,0.25,0.5,0.857534247,0.015517241,0.95056428,0.010887597,0.963562753,0.011210762,0.333333333,0.454672804,1925000,0.547390036,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.000298507,0.020242915,0.375,0.375,0.619178082,0,0.951369946,0.011063604,0.92965587,0,0.833333333,0.451671003,3600000,0.522317086,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.050607287,0.375,0.25,0.224657534,0.018965517,0.943493158,0.012275817,0.837550607,0.021300448,0.833333333,0.450470282,1630000,0.584405058,0,0,0,0,0,1,0
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.3,0,0.038461538,0.375,0.5,0.435616438,0.015517241,0.949059707,0.015363819,0.871963563,0.027466368,0.5,0.450070042,935000,0.532313844,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.2,0.019552239,0.032591093,0.375,0.5,0.523287671,0.018965517,0.95098814,0.012231591,0.887651822,0.028026906,1,0.447468481,1237000,0.604668756,0,0,0,0,0,0,1
0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.333333333,0.021044776,0.029757085,0.375,0.5,0.978082192,0,0.950025887,0.015327275,0.995951417,0,0.5,0.447468481,973000,0.536798876,0,0,0,1,0,0,0
